Wind speed m/s,IEC Class 1,IEC Class 2,IEC Class 3
0,0,0,0
1,0,0,0
2,0,0,0
3,0.0043,0.0052,0.0054
4,0.0323,0.0423,0.053
5,0.0771,0.1031,0.1351
6,0.1426,0.1909,0.2508
7,0.2329,0.3127,0.4033
8,0.3528,0.4731,0.5952
9,0.5024,0.6693,0.7849
10,0.6732,0.8554,0.9178
11,0.8287,0.9641,0.9796
12,0.9264,0.9942,1
13,0.9774,0.9994,1
14,0.9946,1,1
15,0.999,1,1
16,0.9999,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,0
23,1,1,0
24,1,1,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
